מחוז,רשות מקומית ,שם האתר,כתובת,שנת תחילת טיפול,שנת       סיום      טיפול ,זיהום   גז קרקע  ,זיהום קרקע,דרגת זיהום לפני שיקום,סוג סקר,מקור הזיהום ,סוג מזהם מתכות ,סוג מזהם דלקים,סוג מזהם ממסים (לרבות מוכלרים),סוג מזהם שמנים,סוג מזהם חומרי נפץ,סוג מזהם חומרי הדברה,מיגון מבנים         
"ת""א",חולון,שגריר,הנפח 8,2007,2007,לא נבדק ויש פוטנציאל ,יש זיהום,בינוני ,,,,,,,,,טרם נבדק
"ת""א",חולון,רוטרי הנדסה  -  סקר חדש ,הסדנא 16,2013,2014,יש זיהום ,היה זיהום בעבר ששוקם,כבד,שיקום ,מוסך,לא,כן,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",חולון,אלגונל  ,הפטיש 6,2007,2010,יש זיהום ,יש זיהום,כבד,שיקום ,תעשיה,כן,לא,כן,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,בית אכטמן,דרך מנחם בגין,2011,2011,יש זיהום ,לא נבדק ואין זיהום,כבד,סקר היסטורי,אחר,לא,לא,כן,לא,לא,לא,מיגון על פי חובה בתשריט
"ת""א",תל-אביב,המסגר 34,המסגר 34,2008,2013,יש זיהום ,היה זיהום בעבר ששוקם,קל,שיקום ,תעשיה,כן,כן,כן,כן,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,המסגר 6,המסגר 6,2010,2013,יש זיהום ,לא נבדק ויש פוטנציאל,בינוני,סקר גז קרקע,,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,המצביאים 50,המצביאים 50,2012,2012,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,זיקית - הברזל  24 - 16,הברזל 24 - 16 ,2001,2001,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,חילזון,שלמה 38 שלבים 27,2011,2014,לא נבדק ויש פוטנציאל ,לא נבדק ויש פוטנציאל,אין זיהום ,סקר היסטורי,תעשיה,לא,לא,לא,לא,לא,לא,מיגון על פי חובה בתשריט
"ת""א",תל-אביב,כדמוכרום,המסגר 34-37,2008,2013,יש זיהום ,היה זיהום בעבר ששוקם,קל,שיקום ,תעשיה,כן,כן,כן,כן,לא,לא,מיגון לאחר בדיקה
